Date;Open;High;Low;Close;Adj Close;Volume
1999-01-04;27,5;27,84375;26,3125;26,59375;17,588457107543945;2017600
1999-01-05;26,59375;26,59375;25,875;25,875;17,113094329833984;2196800
1999-01-06;26,1875;27,125;26,15625;26,8125;17,733137130737305;2546000
1999-01-07;26,4375;26,625;25,90625;26,0625;17,237104415893555;2438800
1999-01-08;26,1875;26,21875;25,4375;25,5625;16,906415939331055;2259000
1999-01-11;25,5;26,03125;24,6875;25,09375;16,59640121459961;2791000
1999-01-12;25,3125;25,3125;24,46875;24,8125;16,410390853881836;1900400
1999-01-13;24,15625;25,46875;24,125;25,21875;16,679067611694336;2945600
1999-01-14;25,3125;25,3125;23,65625;24,5625;16,245038986206055;7050400
1999-01-15;24,96875;25,09375;24,65625;24,90625;16,472381591796875;2547400
1999-01-19;24,78125;25,0;23,625;23,9375;15,831694602966309;3594200
1999-01-20;24,0625;25,21875;23,96875;24,65625;16,32682991027832;2803400
1999-01-21;24,875;25,65625;24,84375;25,03125;16,575145721435547;2028800
1999-01-22;25,0625;25,5;24,875;25,375;16,80276870727539;1635000
1999-01-25;25,4375;25,5625;24,9375;25,125;16,63722801208496;1970000
1999-01-26;25,25;25,6875;24,875;25,09375;16,61652946472168;2365400
1999-01-27;25,3125;26,21875;25,3125;26,1875;17,34078598022461;2554200
1999-01-28;26,25;26,65625;25,84375;26,28125;17,402870178222656;2343600
1999-01-29;26,46875;27,375;25,96875;27,375;18,127119064331055;1655800
1999-02-01;27,25;27,3125;26,90625;27,09375;17,940881729125977;1407200
1999-02-02;27,1875;27,25;26,84375;27,125;17,961572647094727;1660400
1999-02-03;27,0;27,125;26,3125;26,8125;17,754648208618164;3393600
1999-02-04;26,78125;26,84375;26,15625;26,46875;17,52701187133789;1632400
1999-02-05;26,34375;26,40625;26,09375;26,375;17,464933395385742;1297200
1999-02-08;26,28125;26,3125;25,875;26,0;17,216629028320312;1170400
1999-02-09;25,6875;25,78125;25,25;25,28125;16,740684509277344;1268800
1999-02-10;25,3125;26,28125;25,09375;26,28125;17,402870178222656;1779400
1999-02-11;26,03125;26,875;25,96875;26,5625;17,58910369873047;1694600
1999-02-12;26,5625;27,0;26,375;26,5625;17,58910369873047;1232200
1999-02-16;27,0;27,78125;27,0;27,6875;18,334056854248047;1772800
1999-02-17;27,5;28,09375;26,3125;26,875;17,79603385925293;2634800
1999-02-18;26,75;27,125;26,28125;26,625;17,6304931640625;2347800
1999-02-19;26,5;26,53125;25,78125;26,0;17,216629028320312;2118200
1999-02-22;26,125;27,15625;26,125;27,125;17,961572647094727;2562000
1999-02-23;27,3125;27,90625;27,0625;27,875;18,45821189880371;1875800
1999-02-24;28,1875;29,1875;28,15625;28,21875;18,685834884643555;2002800
1999-02-25;27,8125;27,8125;26,46875;26,46875;17,52701187133789;3350000
1999-02-26;27,25;27,25;26,0625;26,5;17,547714233398438;3853200
1999-03-01;26,375;26,40625;25,5;25,5;16,88553237915039;2924400
1999-03-02;25,5625;26,25;25,5625;26,09375;17,27869987487793;6106800
1999-03-03;26,09375;26,125;25,40625;25,5;16,88553237915039;3141600
1999-03-04;25,59375;25,65625;24,65625;25,25;16,719993591308594;5643800
1999-03-05;26,0;26,25;24,875;25,25;16,719993591308594;4274600
1999-03-08;25,375;25,59375;24,8125;25,5;16,88553237915039;2954400
1999-03-09;25,25;25,625;24,90625;25,0;16,554447174072266;2814400
1999-03-10;25,375;25,59375;25,0;25,40625;16,823461532592773;4671000
1999-03-11;25,75;26,5;25,40625;26,09375;17,27869987487793;2984200
1999-03-12;26,125;26,5;24,5;26,125;17,299407958984375;8838400
1999-03-15;26,0625;26,46875;24,625;25,0625;16,595840454101562;4059800
1999-03-16;25,125;25,78125;25,125;25,71875;17,030385971069336;2955600
1999-03-17;25,59375;25,8125;25,09375;25,59375;16,947622299194336;2096000
1999-03-18;25,5;26,0625;25,03125;25,28125;16,740684509277344;2540800
1999-03-19;25,5;25,5;24,28125;24,65625;16,32682991027832;4185600
1999-03-22;24,4375;24,5625;23,4375;24,25;16,057815551757812;4414000
1999-03-23;24,28125;24,28125;23,1875;23,375;15,478413581848145;4550200
1999-03-24;23,6875;23,6875;22,5;22,75;15,064553260803223;7718400
1999-03-25;22,9375;24,625;22,90625;24,5;16,223352432250977;6906000
1999-03-26;24,5;24,8125;24,1875;24,3125;16,099199295043945;2513800
1999-03-29;24,5625;24,71875;24,0;24,25;16,057815551757812;2274000
1999-03-30;24,25;24,53125;24,03125;24,4375;16,181974411010742;2282800
1999-03-31;25,125;25,125;23,5;23,75;15,726737022399902;2660800
1999-04-01;23,75;23,84375;22,625;22,65625;15,002469062805176;4201000
1999-04-05;22,65625;22,71875;20,96875;22,25;14,7334623336792;9230600
1999-04-06;22,25;23,0;21,75;22,8125;15,105935096740723;4770800
1999-04-07;23,375;23,59375;22,65625;23,0625;15,27147388458252;5523800
1999-04-08;24,25;24,40625;23,71875;24,1875;16,016422271728516;4532200
1999-04-09;24,28125;24,59375;24,28125;24,46875;16,20266342163086;2849000
1999-04-12;24,21875;24,5;24,1875;24,40625;16,161279678344727;3020200
1999-04-13;24,25;24,25;23,375;23,6875;15,685338020324707;2730400
1999-04-14;23,75;23,84375;23,3125;23,34375;15,457720756530762;1895400
1999-04-15;23,34375;23,375;21,84375;22,5;14,899004936218262;4744800
1999-04-16;22,28125;22,375;21,25;21,5;14,236828804016113;5862000
1999-04-19;21,5;21,5625;19,5;20,25;13,409103393554688;5752400
1999-04-20;20,0;21,0625;19,8125;20,53125;13,595337867736816;5823400
1999-04-21;20,875;22,09375;20,8125;21,78125;14,443459510803223;5012600
1999-04-22;22,25;22,625;21,9375;22,40625;14,857905387878418;4582800
1999-04-23;22,5;22,84375;21,9375;22,84375;15,14802074432373;3738400
1999-04-26;22,9375;23,65625;22,625;23,53125;15,603915214538574;5879400
