Date;Open;High;Low;Close;Adj Close;Volume
2005-01-03;1,1567859649658203;1,1626789569854736;1,1178569793701172;1,1301790475845337;0,9533593654632568;691992000
2005-01-04;1,1391069889068604;1,1691069602966309;1,1244640350341797;1,141785979270935;0,9631505608558655;1096810400
2005-01-05;1,1510709524154663;1,1651790142059326;1,1437499523162842;1,151785969734192;0,9715856909751892;680433600
2005-01-06;1,1548210382461548;1,159106969833374;1,1308929920196533;1,1526789665222168;0,9723395705223083;705555200
2005-01-07;1,160714030265808;1,2433929443359375;1,15625;1,2366069555282593;1,0431365966796875;2227450400
2005-01-10;1,2469639778137207;1,2625000476837158;1,2121429443359375;1,2314289808273315;1,0387685298919678;1725309600
2005-01-11;1,21875;1,2348209619522095;1,1453570127487183;1,1528569459915161;0,9724889993667603;2611627200
2005-01-12;1,1687500476837158;1,176785945892334;1,130357027053833;1,1689289808273315;0,986046552658081;1919702400
2005-01-13;1,316249966621399;1,3289289474487305;1,2451790571212769;1,2464289665222168;1,0514215230941772;3164716800
2005-01-14;1,254464030265808;1,2807140350341797;1,235535979270935;1,2535710334777832;1,0574465990066528;1770742400
2005-01-18;1,2473210096359253;1,2625000476837158;1,2098209857940674;1,261607050895691;1,0642247200012207;1006460000
2005-01-19;1,2587499618530273;1,2760709524154663;1,245535969734192;1,2478569746017456;1,0526262521743774;751895200
2005-01-20;1,243749976158142;1,2726789712905884;1,2405359745025635;1,258213996887207;1,0613622665405273;914922400
2005-01-21;1,2733930349349976;1,2785710096359253;1,25;1,2587499618530273;1,061814546585083;911332800
2005-01-24;1,2675000429153442;1,2817859649658203;1,2598210573196411;1,26357102394104;1,0658818483352661;841629600
2005-01-25;1,2744640111923218;1,3007140159606934;1,266785979270935;1,286607027053833;1,0853136777877808;969231200
2005-01-26;1,2975000143051147;1,2991069555282593;1,2717859745025635;1,2901790142059326;1,0883269309997559;739496800
2005-01-27;1,2885710000991821;1,3021429777145386;1,2776789665222168;1,2971429824829102;1,094201922416687;496227200
2005-01-28;1,2967859506607056;1,3210710287094116;1,2935709953308105;1,3210710287094116;1,114385962486267;801612000
2005-01-31;1,331786036491394;1,3908929824829102;1,3305360078811646;1,3732140064239502;1,1583704948425293;1681097600
2005-02-01;1,375892996788025;1,3887499570846558;1,3674999475479126;1,3844640254974365;1,167860746383667;678395200
2005-02-02;1,3919639587402344;1,4269640445709229;1,3873209953308105;1,4219640493392944;1,1994941234588623;1020062400
2005-02-03;1,412500023841858;1,4183930158615112;1,3808929920196533;1,389464020729065;1,1720784902572632;731651200
2005-02-04;1,3905359506607056;1,4094640016555786;1,3844640254974365;1,4078569412231445;1,187593936920166;563556000
2005-02-07;1,4094640016555786;1,416964054107666;1,3839290142059326;1,4096430540084839;1,1891006231307983;524456800
2005-02-08;1,4119640588760376;1,4532140493392944;1,4069639444351196;1,4446430206298828;1,2186247110366821;890019200
2005-02-09;1,4471429586410522;1,4641070365905762;1,394642949104309;1,4060709476470947;1,1860873699188232;1191456000
2005-02-10;1,4057140350341797;1,4157140254974365;1,3689290285110474;1,3992860317230225;1,1803638935089111;1093019200
2005-02-11;1,426071047782898;1,4600000381469727;1,4096430540084839;1,4501789808273315;1,2232944965362549;1201054400
2005-02-14;1,4773210287094116;1,5141069889068604;1,4651789665222168;1,5112500190734863;1,2748103141784668;1271463200
2005-02-15;1,5475000143051147;1,5907139778137207;1,535714030265808;1,5787500143051147;1,3317503929138184;2312217600
2005-02-16;1,574107050895691;1,6107139587402344;1,5598210096359253;1,6094640493392944;1,3576586246490479;1639243200
2005-02-17;1,618749976158142;1,6228569746017456;1,561607003211975;1,5680359601974487;1,3227125406265259;1518473600
2005-02-18;1,5667860507965088;1,5689289569854736;1,5401790142059326;1,5501790046691895;1,3076491355895996;1163254400
2005-02-22;1,5410710573196411;1,5767860412597656;1,523036003112793;1,523036003112793;1,2847528457641602;1219293600
2005-02-23;1,548570990562439;1,5794639587402344;1,5276789665222168;1,5755360126495361;1,3290388584136963;1345181600
2005-02-24;1,5800000429153442;1,5948209762573242;1,5666069984436035;1,5880359411239624;1,339583396911621;1519028000
2005-02-25;1,6003570556640625;1,6055359840393066;1,5748209953308105;1,5891070365905762;1,340486764907837;915510400
2005-02-28;1,5957139730453491;1,6121430397033691;1,5700000524520874;1,6021430492401123;1,3514832258224487;651610400
