Date;Open;High;Low;Close;Adj Close;Volume
2000-01-03;0,9363840222358704;1,004464030265808;0,9079239964485168;0,9994419813156128;0,8430764675140381;535796800
2000-01-04;0,966517984867096;0,9877229928970337;0,9034600257873535;0,9151790142059326;0,7719964981079102;512377600
2000-01-05;0,9263389706611633;0,9871649742126465;0,919642984867096;0,9285709857940674;0,7832934260368347;778321600
2000-01-06;0,9475449919700623;0,955357015132904;0,8482139706611633;0,8482139706611633;0,7155085206031799;767972800
2000-01-07;0,861607015132904;0,9017860293388367;0,8526790142059326;0,888392984867096;0,749401330947876;460734400
2000-01-10;0,9107139706611633;0,9129459857940674;0,845982015132904;0,872767984867096;0,7362208962440491;505064000
2000-01-11;0,8565850257873535;0,8872770071029663;0,8080360293388367;0,828125;0,6985624432563782;441548800
2000-01-12;0,8482139706611633;0,8526790142059326;0,7723209857940674;0,7784600257873535;0,6566677689552307;976068800
2000-01-13;0,8436099886894226;0,8816959857940674;0,825892984867096;0,8638389706611633;0,7286890149116516;1032684800
2000-01-14;0,892857015132904;0,9129459857940674;0,8872770071029663;0,896763026714325;0,7564618587493896;390376000
2000-01-18;0,9017860293388367;0,9464290142059326;0,896763026714325;0,928013026714325;0,7828227281570435;459177600
2000-01-19;0,9430800080299377;0,970982015132904;0,9229909777641296;0,9514510035514832;0,8025938272476196;597643200
2000-01-20;1,03125;1,0848209857940674;1,0133930444717407;1,0133930444717407;0,8548449277877808;1831132800
2000-01-21;1,020089030265808;1,020089030265808;0,9838169813156128;0,993861973285675;0,8383694291114807;495924800
2000-01-24;0,9681919813156128;1,0066959857940674;0,9386159777641296;0,9486610293388367;0,8002402782440186;440876800
2000-01-25;0,9375;1,010045051574707;0,9140629768371582;1,0022319555282593;0,8454299569129944;497145600
2000-01-26;0,982142984867096;1,019531011581421;0,9799110293388367;0,9838169813156128;0,829896092414856;367158400
2000-01-27;0,9715399742126465;1,0089290142059326;0,955357015132904;0,982142984867096;0,8284838795661926;340144000
2000-01-28;0,9659600257873535;0,9899550080299377;0,8984379768371582;0,9073659777641296;0,76540607213974;423348800
2000-01-31;0,9017860293388367;0,9274550080299377;0,84375;0,9263389706611633;0,781410813331604;701680000
2000-02-01;0,9285709857940674;0,9375;0,892857015132904;0,8950889706611633;0,7550498247146606;318035200
2000-02-02;0,8995540142059326;0,9118300080299377;0,8660709857940674;0,8822540044784546;0,74422287940979;464195200
2000-02-03;0,8956469893455505;0,9308040142059326;0,8950889706611633;0,9224330186843872;0,7781159281730652;475193600
2000-02-04;0,928013026714325;0,982142984867096;0,9252229928970337;0,9642860293388367;0,8134207725524902;425320000
2000-02-07;0,9642860293388367;1,020089030265808;0,9458709955215454;1,0184149742126465;0,8590812087059021;441067200
2000-02-08;1,0178569555282593;1,036829948425293;0,9933040142059326;1,025670051574707;0,8652011752128601;408643200
2000-02-09;1,0189729928970337;1,0457589626312256;1,003906011581421;1,005579948425293;0,8482540845870972;299364800
2000-02-10;1,0078129768371582;1,0167410373687744;0,982142984867096;1,0133930444717407;0,8548449277877808;302982400
2000-02-11;1,0145089626312256;1,0189729928970337;0,966517984867096;0,970982015132904;0,8190693855285645;212251200
2000-02-14;0,9760040044784546;1,0345979928970337;0,9698659777641296;1,0340399742126465;0,8722615242004395;367539200
2000-02-15;1,0290180444717407;1,0708709955215454;1,0284600257873535;1,0625;0,8962687253952026;485744000
2000-02-16;1,051339030265808;1,0546879768371582;1,0011160373687744;1,0189729928970337;0,859551727771759;378246400
2000-02-17;1,0284600257873535;1,03125;1,010045051574707;1,025670051574707;0,8652011752128601;289497600
2000-02-18;1,0234379768371582;1,0301339626312256;0,9899550080299377;0,9933040142059326;0,8378986716270447;233441600
2000-02-22;0,9832590222358704;1,0440850257873535;0,9525669813156128;1,0161830186843872;0,8571984171867371;422296000
2000-02-23;1,0110210180282593;1,0625;0,9910709857940674;1,0379459857940674;0,875556230545044;473099200
2000-02-24;1,0474330186843872;1,0636160373687744;0,997767984867096;1,0285990238189697;0,8676718473434448;376432000
2000-02-25;1,0251120328903198;1,0446430444717407;0,9832590222358704;0,9854909777641296;0,8313081860542297;249144000
2000-02-28;0,9832590222358704;1,026785969734192;0,9676340222358704;1,011160969734192;0,8529618978500366;328328000
2000-02-29;1,0139509439468384;1,046875;1,0050220489501953;1,0234379768371582;0,8633182048797607;368961600
2000-03-01;1,058593988418579;1,1791290044784546;1,058035969734192;1,1635040044784546;0,9814708232879639;1077003200
2000-03-02;1,1339290142059326;1,1422990560531616;1,0775669813156128;1,089285969734192;0,9188641309738159;311259200
2000-03-03;1,114954948425293;1,144950032234192;1,0714290142059326;1,1428569555282593;0,9640541076660156;323366400
