Date;Open;High;Low;Close;Adj Close;Volume
2015-01-02;27,84749984741211;27,860000610351562;26,837499618530273;27,332500457763672;24,347169876098633;212818400
2015-01-05;27,072500228881836;27,162500381469727;26,352500915527344;26,5625;23,661270141601562;257142000
2015-01-06;26,635000228881836;26,857500076293945;26,157499313354492;26,565000534057617;23,66349983215332;263188400
2015-01-07;26,799999237060547;27,049999237060547;26,674999237060547;26,9375;23,995315551757812;160423600
2015-01-08;27,3075008392334;28,037500381469727;27,174999237060547;27,97249984741211;24,917266845703125;237458000
2015-01-09;28,167499542236328;28,3125;27,552499771118164;28,002500534057617;24,94399070739746;214798000
2015-01-12;28,149999618530273;28,157499313354492;27,200000762939453;27,3125;24,329349517822266;198603200
2015-01-13;27,857500076293945;28,200000762939453;27,227500915527344;27,55500030517578;24,545368194580078;268367600
2015-01-14;27,260000228881836;27,622499465942383;27,125;27,450000762939453;24,45183753967285;195826400
2015-01-15;27,5;27,514999389648438;26,665000915527344;26,704999923706055;23,788209915161133;240056000
2015-01-16;26,75749969482422;26,895000457763672;26,299999237060547;26,497499465942383;23,603370666503906;314053200
2015-01-20;26,959999084472656;27,24250030517578;26,625;27,18000030517578;24,211332321166992;199599600
2015-01-21;27,237499237060547;27,764999389648438;27,0674991607666;27,387500762939453;24,396162033081055;194303600
2015-01-22;27,565000534057617;28,11750030517578;27,43000030517578;28,100000381469727;25,030841827392578;215185600
2015-01-23;28,075000762939453;28,4375;27,88249969482422;28,2450008392334;25,160003662109375;185859200
2015-01-26;28,434999465942383;28,59000015258789;28,200000762939453;28,274999618530273;25,186723709106445;222460000
2015-01-27;28,104999542236328;28,1200008392334;27,25749969482422;27,28499984741211;24,304855346679688;382274800
2015-01-28;29,407499313354492;29,530000686645508;28,827499389648438;28,827499389648438;25,67888832092285;585908400
2015-01-29;29,079999923706055;29,797500610351562;28,889999389648438;29,725000381469727;26,478357315063477;337745600
2015-01-30;29,600000381469727;30,0;29,212499618530273;29,290000915527344;26,090869903564453;334982000
2015-02-02;29,512500762939453;29,792499542236328;29,020000457763672;29,657499313354492;26,41822624206543;250956400
2015-02-03;29,625;29,772499084472656;29,40250015258789;29,662500381469727;26,422677993774414;207662800
2015-02-04;29,625;30,127500534057617;29,577499389648438;29,889999389648438;26,625343322753906;280598800
2015-02-05;30,0049991607666;30,0575008392334;29,8125;29,985000610351562;26,815378189086914;168984800
2015-02-06;30,0049991607666;30,0625;29,612499237060547;29,732500076293945;26,58955955505371;174826400
2015-02-09;29,637500762939453;29,959999084472656;29,607500076293945;29,93000030517578;26,76618766784668;155559200
