Date;Open;High;Low;Close;Adj Close;Volume
2019-03-06;94604,0;94889,0;93945,0;94217,0;94217,0;2715300
2019-03-07;94216,0;94532,0;93729,0;94340,0;94340,0;4104300
2019-03-08;94340,0;95476,0;93305,0;95365,0;95365,0;4054200
2019-03-11;95384,0;98027,0;95384,0;98027,0;98027,0;4251500
2019-03-12;98038,0;98150,0;97267,0;97828,0;97828,0;3832900
2019-03-13;97831,0;99267,0;97464,0;98904,0;98904,0;4812100
2019-03-14;98905,0;99036,0;97776,0;98605,0;98605,0;3584500
2019-03-15;98605,0;99393,0;98597,0;99137,0;99137,0;5136400
2019-03-18;99141,0;100038,0;99141,0;99994,0;99994,0;4204100
2019-03-19;99991,0;100439,0;99373,0;99588,0;99588,0;5231100
2019-03-20;99588,0;99708,0;97981,0;98041,0;98041,0;4633200
2019-03-21;98041,0;98046,0;95456,0;96729,0;96729,0;5321200
2019-03-22;96725,0;96725,0;93380,0;93735,0;93735,0;6001100
2019-03-25;93735,0;94384,0;93103,0;93662,0;93662,0;4508400
2019-03-26;93668,0;95525,0;93668,0;95307,0;95307,0;4660700
2019-03-27;95297,0;95297,0;91903,0;91903,0;91903,0;5726900
2019-03-28;91901,0;94854,0;91584,0;94389,0;94389,0;5192300
2019-03-29;94402,0;95863,0;94402,0;95415,0;95415,0;4674600
2019-04-01;95423,0;96752,0;95423,0;96054,0;96054,0;3753500
2019-04-02;96062,0;96690,0;94825,0;95387,0;95387,0;3713200
2019-04-03;95392,0;96442,0;94124,0;94491,0;94491,0;4308900
2019-04-04;94503,0;96394,0;94334,0;96313,0;96313,0;4086200
2019-04-05;96319,0;97493,0;96152,0;97108,0;97108,0;3689000
2019-04-08;97110,0;97610,0;96743,0;97369,0;97369,0;3430800
2019-04-09;97366,0;97366,0;95488,0;96292,0;96292,0;3733400
2019-04-10;96292,0;96902,0;95670,0;95953,0;95953,0;4574600
2019-04-11;95954,0;95954,0;94173,0;94755,0;94755,0;3530500
2019-04-12;94747,0;94768,0;92516,0;92875,0;92875,0;6712200
2019-04-15;92875,0;93723,0;92697,0;93083,0;93083,0;4629800
2019-04-16;93082,0;95062,0;92879,0;94333,0;94333,0;4581600
2019-04-17;94337,0;95042,0;92338,0;93285,0;93285,0;6458600
2019-04-18;93285,0;95140,0;93285,0;94578,0;94578,0;4933300
2019-04-22;94578,0;95038,0;93721,0;94588,0;94588,0;3176600
2019-04-23;94590,0;96315,0;94590,0;95923,0;95923,0;4309100
2019-04-24;95923,0;95923,0;94163,0;95045,0;95045,0;4658800
2019-04-25;95027,0;96552,0;94213,0;96552,0;96552,0;4878200
2019-04-26;96552,0;96563,0;95620,0;96236,0;96236,0;3767100
2019-04-29;96254,0;97123,0;96004,0;96188,0;96188,0;3225400
2019-04-30;96191,0;96707,0;95613,0;96353,0;96353,0;4228600
2019-05-02;96339,0;96339,0;95312,0;95528,0;95528,0;3863600
2019-05-03;95521,0;96315,0;95521,0;96008,0;96008,0;4014800
2019-05-06;95992,0;95992,0;94540,0;95009,0;95009,0;3216000
2019-05-07;95009,0;95009,0;92750,0;94389,0;94389,0;4907400
2019-05-08;94389,0;96312,0;94389,0;95597,0;95597,0;4916500
2019-05-09;95597,0;95597,0;93883,0;94808,0;94808,0;4152200
2019-05-10;94809,0;94848,0;93234,0;94258,0;94258,0;4097900
2019-05-13;94252,0;94252,0;91600,0;91727,0;91727,0;4662600
2019-05-14;91736,0;92529,0;91562,0;92092,0;92092,0;4045400
2019-05-15;92088,0;92088,0;90295,0;91623,0;91623,0;4791900
2019-05-16;91622,0;91622,0;89778,0;90024,0;90024,0;5570000
2019-05-17;90023,0;91321,0;89409,0;89993,0;89993,0;5342700
2019-05-20;90006,0;92117,0;89822,0;91946,0;91946,0;4620000
2019-05-21;91946,0;94573,0;91946,0;94485,0;94485,0;5397000
2019-05-22;94485,0;95212,0;93883,0;94361,0;94361,0;4232500
2019-05-23;94360,0;94547,0;93300,0;93910,0;93910,0;3787800
2019-05-24;93912,0;94900,0;93545,0;93628,0;93628,0;3484700
2019-05-27;93626,0;95444,0;93626,0;94864,0;94864,0;2544800
2019-05-28;94863,0;96552,0;94707,0;96393,0;96393,0;6383100
2019-05-29;96389,0;96986,0;95690,0;96567,0;96567,0;4559100
2019-05-30;96566,0;97939,0;96511,0;97457,0;97457,0;4398200
2019-05-31;97420,0;97992,0;96792,0;97030,0;97030,0;5089500
2019-06-03;97036,0;97757,0;96430,0;97020,0;97020,0;4547900
2019-06-04;97020,0;97723,0;96593,0;97380,0;97380,0;4293300
2019-06-05;97381,0;97686,0;95686,0;95999,0;95999,0;3769100
2019-06-06;96002,0;97462,0;96002,0;97205,0;97205,0;4054900
2019-06-07;97205,0;98326,0;97205,0;97821,0;97821,0;3718500
2019-06-10;97828,0;97856,0;96782,0;97467,0;97467,0;3584000
2019-06-11;97467,0;98985,0;97467,0;98960,0;98960,0;4922400
2019-06-12;98960,0;99240,0;97831,0;98321,0;98321,0;4948800
